alpha_p, beta_p, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
1,1,100,2,5,38,1000,2,2,500,100,5,0.39079167055189334,0.3,0.04,0.2,0.19,0.18,0.2,0.25,0.02,0.05,0.07,0.0,0.02
1,1,100,2,5,40,1000,2,2,500,100,5,9.819860434916277,0.5,0.02,0.44,0.44,0.49,0.42,0.5,0.03,0.01,0.02,0.0,0.01
1,1,100,2,5,40,1000,2,2,500,100,5,12.333605470857488,0.02,0.01,0.08,0.01,0.03,0.01,0.0,0.0,0.01,0.01,0.01,0.01
1,1,100,2,5,42,1000,2,2,500,100,5,10.48358781278353,0.04,0.03,0.02,0.01,0.07,0.07,0.03,0.03,0.03,0.01,0.03,0.02
1,1,100,2,5,42,1000,2,2,500,100,5,5.2114270835399354,0.06,0.06,0.05,0.04,0.03,0.02,0.03,0.03,0.02,0.02,0.01,0.03
1,1,100,2,5,44,1000,2,2,500,100,5,0.3721873759561468,0.09,0.0,0.08,0.06,0.06,0.09,0.07,0.01,0.02,0.02,0.02,0.01
1,1,100,2,5,46,1000,2,2,500,100,5,12.257410139626963,0.04,0.02,0.05,0.04,0.06,0.06,0.05,0.0,0.03,0.06,0.02,0.01
1,1,100,2,5,46,1000,2,2,500,100,5,13.988803744653485,0.05,0.07,0.01,0.03,0.05,0.03,0.02,0.03,0.01,0.03,0.01,0.01
2,5,20,2,5,2,1000,2,2,500,100,5,12.064882925207062,0.57,0.55,0.54,0.51,0.5,0.6,0.53,0.51,0.52,0.56,0.56,0.47
2,5,20,2,5,2,1000,2,2,500,100,5,3.419624448825418,0.62,0.54,0.63,0.64,0.62,0.68,0.62,0.54,0.49,0.59,0.59,0.51
2,5,20,2,5,4,1000,2,2,500,100,5,0.25499814685865435,0.25,0.28,0.22,0.2,0.2,0.29,0.28,0.3,0.24,0.33,0.27,0.24
2,5,20,2,5,4,1000,2,2,500,100,5,2.9374270651501764,0.38,0.38,0.34,0.28,0.33,0.37,0.36,0.23,0.26,0.24,0.22,0.23
2,5,20,2,5,6,1000,2,2,500,100,5,4.04047334264677,0.19,0.19,0.23,0.2,0.3,0.28,0.24,0.16,0.19,0.17,0.21,0.15
2,5,20,2,5,6,1000,2,2,500,100,5,1.1719021441824575,0.35,0.17,0.45,0.35,0.44,0.47,0.55,0.23,0.25,0.25,0.19,0.17
2,5,40,2,5,2,1000,2,2,500,100,5,23.136088660375542,0.61,0.53,0.74,0.68,0.61,0.57,0.58,0.63,0.51,0.47,0.48,0.47
2,5,40,2,5,2,1000,2,2,500,100,5,1.1359536993082466,0.64,0.56,0.58,0.68,0.61,0.68,0.55,0.55,0.57,0.53,0.47,0.61
2,5,40,2,5,4,1000,2,2,500,100,5,4.713802345515709,0.21,0.23,0.29,0.29,0.31,0.26,0.29,0.37,0.32,0.3,0.22,0.25
2,5,40,2,5,4,1000,2,2,500,100,5,2.010404442744089,0.42,0.34,0.4,0.49,0.46,0.42,0.49,0.34,0.26,0.26,0.2,0.24
2,5,40,2,5,6,1000,2,2,500,100,5,20.715618532356984,0.34,0.21,0.33,0.41,0.23,0.15,0.22,0.13,0.19,0.2,0.18,0.23
2,5,40,2,5,6,1000,2,2,500,100,5,2.793279371696685,0.26,0.15,0.19,0.33,0.29,0.31,0.32,0.09,0.13,0.15,0.13,0.16
2,5,40,2,5,8,1000,2,2,500,100,5,38.35308626656081,0.09,0.08,0.2,0.14,0.1,0.13,0.12,0.2,0.17,0.19,0.2,0.19
2,5,40,2,5,8,1000,2,2,500,100,5,6.801144199906364,0.17,0.1,0.15,0.12,0.13,0.14,0.14,0.09,0.14,0.12,0.09,0.12
2,5,40,2,5,10,1000,2,2,500,100,5,20.994430635367532,0.15,0.08,0.08,0.09,0.09,0.09,0.11,0.09,0.04,0.13,0.11,0.11
2,5,40,2,5,10,1000,2,2,500,100,5,14.895083819738886,0.05,0.08,0.12,0.05,0.15,0.1,0.09,0.12,0.09,0.12,0.05,0.13
2,5,40,2,5,12,1000,2,2,500,100,5,1.0633904245646248,0.13,0.05,0.1,0.1,0.11,0.06,0.11,0.1,0.07,0.05,0.09,0.03
2,5,40,2,5,12,1000,2,2,500,100,5,10.900206078325379,0.09,0.03,0.09,0.15,0.11,0.1,0.09,0.1,0.15,0.07,0.08,0.06
2,5,40,2,5,14,1000,2,2,500,100,5,1.1288464550451232,0.08,0.07,0.08,0.11,0.07,0.06,0.12,0.06,0.02,0.04,0.03,0.08
2,5,40,2,5,14,1000,2,2,500,100,5,0.20303593490538435,0.11,0.08,0.16,0.09,0.15,0.14,0.11,0.07,0.09,0.04,0.07,0.1
2,5,40,2,5,16,1000,2,2,500,100,5,14.295424339695181,0.09,0.07,0.09,0.05,0.01,0.07,0.02,0.08,0.06,0.1,0.09,0.07
2,5,40,2,5,16,1000,2,2,500,100,5,33.288893796133564,0.04,0.07,0.08,0.06,0.05,0.01,0.05,0.08,0.04,0.06,0.06,0.07
2,5,60,2,5,2,1000,2,2,500,100,5,0.038485641944176266,0.53,0.52,0.56,0.55,0.56,0.57,0.51,0.55,0.66,0.56,0.48,0.5
2,5,60,2,5,2,1000,2,2,500,100,5,10.797246414349056,0.5,0.46,0.53,0.42,0.51,0.49,0.57,0.42,0.52,0.45,0.49,0.53
2,5,60,2,5,4,1000,2,2,500,100,5,0.37543663861450777,0.36,0.26,0.39,0.45,0.42,0.39,0.36,0.24,0.22,0.17,0.26,0.2
2,5,60,2,5,4,1000,2,2,500,100,5,4.051001895531238,0.37,0.25,0.46,0.54,0.52,0.5,0.5,0.19,0.25,0.22,0.22,0.21
2,5,60,2,5,6,1000,2,2,500,100,5,11.304930789283569,0.67,0.15,0.56,0.58,0.64,0.6,0.64,0.23,0.27,0.13,0.17,0.27
2,5,60,2,5,6,1000,2,2,500,100,5,23.008853807362463,0.27,0.09,0.17,0.32,0.24,0.29,0.23,0.12,0.16,0.14,0.21,0.17
2,5,60,2,5,8,1000,2,2,500,100,5,1.7908597277452527,0.17,0.15,0.13,0.08,0.11,0.1,0.16,0.13,0.13,0.17,0.1,0.09
2,5,60,2,5,8,1000,2,2,500,100,5,16.42948929388697,0.21,0.16,0.16,0.21,0.1,0.14,0.15,0.14,0.13,0.11,0.19,0.06
2,5,60,2,5,10,1000,2,2,500,100,5,5.704589414191701,0.17,0.15,0.07,0.12,0.08,0.14,0.09,0.1,0.11,0.13,0.14,0.12
2,5,60,2,5,10,1000,2,2,500,100,5,3.706331486778043,0.24,0.07,0.22,0.24,0.21,0.26,0.2,0.15,0.04,0.11,0.09,0.09
2,5,60,2,5,12,1000,2,2,500,100,5,1.9209382100185564,0.1,0.09,0.1,0.1,0.07,0.12,0.05,0.07,0.02,0.09,0.09,0.07
2,5,60,2,5,12,1000,2,2,500,100,5,11.443880070927504,0.03,0.11,0.13,0.07,0.06,0.06,0.13,0.09,0.07,0.07,0.07,0.04
2,5,60,2,5,14,1000,2,2,500,100,5,43.67590438466255,0.24,0.1,0.26,0.22,0.25,0.28,0.24,0.06,0.07,0.04,0.05,0.04
2,5,60,2,5,14,1000,2,2,500,100,5,2.6108763159006907,0.06,0.04,0.05,0.11,0.05,0.08,0.07,0.05,0.05,0.08,0.04,0.05
